Architecture    Offer         Publisher    Sku                    Urn                                                           Version
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201805090            14.04.201805090
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201805220            14.04.201805220
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201808140            14.04.201808140
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201903120            14.04.201903120
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.4-LTS            Canonical:UbuntuServer:14.04.4-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904030      14.04.201904030
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904080      14.04.201904080
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904090      14.04.201904090
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904200      14.04.201904200
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904240      14.04.201904240
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904250      14.04.201904250
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201904290      14.04.201904290
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201905140      14.04.201905140
x64             UbuntuServer  Canonical    14.04.5-DAILY-LTS      Canonical:UbuntuServer:14.04.5-DAILY-LTS:14.04.201911070      14.04.201911070
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608091            14.04.201608091
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608241            14.04.201608241
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201608300            14.04.201608300
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201609190            14.04.201609190
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201610100            14.04.201610100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201610200            14.04.201610200
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201611090            14.04.201611090
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201611300            14.04.201611300
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201612050            14.04.201612050
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201612130            14.04.201612130
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201701040            14.04.201701040
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201701100            14.04.201701100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201702021            14.04.201702021
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201702200            14.04.201702200
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201702220            14.04.201702220
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201703070            14.04.201703070
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201703230            14.04.201703230
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201703280            14.04.201703280
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201703300            14.04.201703300
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201704050            14.04.201704050
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201704240            14.04.201704240
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201705170            14.04.201705170
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201706190            14.04.201706190
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201706290            14.04.201706290
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201707180            14.04.201707180
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708020            14.04.201708020
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708030            14.04.201708030
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708070            14.04.201708070
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708110            14.04.201708110
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708180            14.04.201708180
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201708310            14.04.201708310
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201710100            14.04.201710100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201710260            14.04.201710260
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201711151            14.04.201711151
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201712080            14.04.201712080
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201801100            14.04.201801100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201801220            14.04.201801220
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201802221            14.04.201802221
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201803080            14.04.201803080
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201804040            14.04.201804040
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201804230            14.04.201804230
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201805090            14.04.201805090
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201805220            14.04.201805220
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201806270            14.04.201806270
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201807030            14.04.201807030
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201807220            14.04.201807220
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201808140            14.04.201808140
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201808180            14.04.201808180
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201809130            14.04.201809130
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201810020            14.04.201810020
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201810040            14.04.201810040
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201810220            14.04.201810220
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201811140            14.04.201811140
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201812030            14.04.201812030
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201901080            14.04.201901080
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201901100            14.04.201901100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201901221            14.04.201901221
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201902060            14.04.201902060
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201902090            14.04.201902090
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201902260            14.04.201902260
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201903120            14.04.201903120
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201903150            14.04.201903150
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201903180            14.04.201903180
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201903210            14.04.201903210
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904020            14.04.201904020
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904030            14.04.201904030
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904080            14.04.201904080
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904100            14.04.201904100
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904200            14.04.201904200
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904240            14.04.201904240
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904250            14.04.201904250
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201904290            14.04.201904290
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201905140            14.04.201905140
x64             UbuntuServer  Canonical    14.04.5-LTS            Canonical:UbuntuServer:14.04.5-LTS:14.04.201911070            14.04.201911070
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201907241        16.04.201907241
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201907290        16.04.201907290
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201907310        16.04.201907310
